horaire,titre,artiste
2023-05-09 16:28:00,"BRIAN DE PALMA, SUITE POUR VIOLON ET ORCHESTRE : 1. MAIN THEME FROM CASUALTIES OF WAR",ORCHESTRE HAYDN DE BOLZANO ET DE TRENTE  MARCO SERINO
2023-05-09 16:31:00,DID YOU KNOW THAT THERE'S A TUNNEL UNDER OCEAN BLVD,LANA DEL REY
2023-05-09 16:36:00,WUTHERING HEIGHTS,KATE BUSH
2023-05-09 16:40:00,NO CREDIT FOR THIS,CHARLES STEPNEY
2023-05-09 16:44:00,A DIME AWAY FROM A HOTDOG,OSCAR BROWN JR
2023-05-09 16:48:00,NUVOJOB,VARNISH LA PISCINE
2023-05-09 16:49:00,OFELE,PIERRE KWENDERS  UPROOT ANDY
2023-05-09 16:54:00,CAPE TOWN JAM,AUNTIE FLO
2023-05-09 16:57:00,OMAMPAM ,ARP FRIQUE  MARISEYA
2023-05-09 17:00:00,AD LIB,LES CHEVALS
2023-05-09 17:02:00,LA FOULE,PULCINELLA  MARIA MAZZOTTA
2023-05-09 17:06:00,PRODIGAL SON,STEEL PULSE
2023-05-09 17:11:00,FREE,THE NATURAL FOUR  DELMOS WHITLEY
2023-05-09 17:14:00,LET'S DO IT AGAIN ,ANA POPOVIC  AL KAPONE  CODY DICKINSON
2023-05-09 17:18:00,ON THE ONE ,SAM REDMORE  MR AUDEN ALLEN  RENEGADE BRASS BAND
2023-05-09 17:21:00,ALEGRIA,ADRIEN BRANDEIS
2023-05-09 17:27:00,SOMEONE,ANA LAYLA  ERIC LEGNINI  DANIEL ROMEO  DRE PALLEMAERTS  VICTOR FOULON
2023-05-09 17:29:00,START ME UP,THE ROLLING STONES
2023-05-09 17:33:00,LET'S GO! LET'S GO ! ,VULFMON  MIKE VIOLA
2023-05-09 17:38:00,CASTLES MADE OF SAND,JIMI HENDRIX
2023-05-09 17:40:00,TSUGARU HANAGASA,TAKESHI TERAUCHI
2023-05-09 17:44:00,ARAWAN,TINARIWEN
2023-05-09 17:48:00,LA PLUIE NE TOMBE JAMAIS SUR TOI,LOU-ADRIANE CASSIDY
2023-05-09 17:51:00,CIELO GRANDE,HERMANOS GUTIERREZ  ALEJANDRO GUTIERREZ  ESTEVAN GUTIERREZ
2023-05-09 17:54:00,AGED EYES ,ALFA MIST
2023-05-09 17:58:00,EMPIRE ,KAISER QUARTETT  VALESKA STEINER
2023-05-09 18:02:00,TES YEUX SE MOQUENT,LOUISE ATTAQUE
2023-05-09 18:05:00,INDIFERENTI ,L'ALBA
2023-05-09 18:08:00,CORSICA,ET.NU  LEA MARIA FRIES  JULIEN HERNE
2023-05-09 18:13:00,SONG OF THE ISLANDS,MARCEL BIANCHI
2023-05-09 18:15:00,EXOTICA,PARCELS
2023-05-09 18:20:00,NO ONE ELSE,A.M. SON
2023-05-09 18:23:00,LANCA PERFUME,RITA LEE
2023-05-09 18:28:00,"EASY COME, EASY GO",CHET BAKER
2023-05-09 18:30:00,AIN'T NO MOUNTAIN HIGH ENOUGH,DIANA ROSS  THE SUPREMES  THE TEMPTATIONS
2023-05-09 18:33:00,TENEBRAX,TUZEINT
2023-05-09 18:36:00,SMOKE,RUNNY NOISE
2023-05-09 18:39:00,LIFE IS REAL,AYO
2023-05-09 18:43:00,NOT ANOTHER WOMAN,CARL DAWKINS
2023-05-09 18:47:00,DEJALA EN LA PUNTICA,BILL LASWELL  TATA GUINES
2023-05-09 18:48:00,NEW YORK U.S.A.,SERGE GAINSBOURG
2023-05-09 18:51:00,SKYSCRAPER,KINOBE
2023-05-09 18:52:00,POINT AND KILL,LITTLE SIMZ   LITTLE SIMZ  OBONGJAYAR
2023-05-09 18:55:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-09 20:09:00,THE NORMYN SUITE N1 : CATHARSIS ,MICHAEL LEONHART ORCHESTRA  BILL FRISELL
2023-05-09 20:10:00,LE MISUNDERSTANDING,IDRIS CHEBA
2023-05-09 20:13:00,WOLF IN RABBIT CLOTHES,ST. PAUL  THE BROKEN BONES
2023-05-09 20:15:00,BERLIN PARIS,ET.NU  LEA MARIA FRIES  JULIEN HERNE
2023-05-09 20:19:00,STUPIDITY  THE FOXY LADY,KID LOCO
2023-05-09 20:19:00,ODYSSEY,LAURA ROY
