horaire,titre,artiste
2023-05-11 10:47:00,CRISTAL MIND,JB DUNCKEL
2023-05-11 10:52:00,I'LL NEVER FALL IN LOVE AGAIN,BURT BACHARACH
2023-05-11 10:54:00,ONE NOTE SAMBA,HERBIE MANN
2023-05-11 10:58:00,MANIA DE PEITAO,SEU JORGE
2023-05-11 11:00:00,MONKEY BANANA,FELA KUTI
2023-05-11 11:03:00,DOOR PEEPER ,BURNING SPEAR
2023-05-11 11:06:00,JAVANAISE REMAKE,SERGE GAINSBOURG
2023-05-11 11:09:00,BAKOM GLASET,DINA OGON
2023-05-11 11:11:00,SWAG ON,KAZAM
2023-05-11 11:14:00,JOHNNY CASH HURT TYPE BEAT,DEAN BLUNT
2023-05-11 11:16:00,HURT,JOHNNY CASH
2023-05-11 11:20:00,OCEAN OF TEARS,BIG MAYBELLE
2023-05-11 11:22:00,THE GREEN RAY,MOLLY LEWIS
2023-05-11 11:27:00,AGED EYES ,ALFA MIST  JAMIE LEEMING  ALFA SEKITOLEKO  AVISHAI ROZEN  KAYA THOMAS-DYKE
2023-05-11 11:30:00,THERE IS NOTHING MORE TO SAY,THE MILLENNIUM
2023-05-11 11:33:00,PARIS ,MELANIE
2023-05-11 11:37:00,CASBAH LOUNGE,NICOLAS GODIN
2023-05-11 11:41:00,TA GOUMARA KI APIDIA ,TASSOS CHALKIAS
2023-05-11 11:44:00,BIG BOSS MAN,BOBBIE GENTRY
2023-05-11 11:47:00,CAR WASH,ROSE ROYCE  GWEN DICKEY  THE POINTER SISTERS
2023-05-11 11:50:00,DUNCAN TRUFFLE,ARP FRIQUE
2023-05-11 11:54:00,CASTELMAURE ,FLAVIEN BERGER
2023-05-11 11:56:00,BONNY,PREFAB SPROUT
2023-05-11 12:00:00,TOO YOUNG,PHOENIX
2023-05-11 12:03:00,GANIMED,ANGELS OF LIBRA
2023-05-11 12:07:00,SLEEP DEPRIVED,HUNTER LIONEL
2023-05-11 12:10:00,SAFE FROM HARM,MASSIVE ATTACK
2023-05-11 12:15:00,AIR IN REST,BUTTERING TRIO
2023-05-11 12:18:00,PRELUDE EN UT MAJ BWV 846 - ARRANGEMENT POUR MARIMBA,KUNIKO
2023-05-11 12:21:00,BISSAU,FRANCIS BEBEY
2023-05-11 12:24:00,A SONG FOR JEFFREY,JETHRO TULL
2023-05-11 12:27:00,RETURN TO ME NOW,LAEL NEALE
2023-05-11 12:31:00,FORBIDDEN ISLAND,MARTIN DENNY  JULIUS WECHTER  HARVEY RAGSDALE  AUGIE COLON
2023-05-11 12:34:00,SYRACUSE,HENRI SALVADOR
2023-05-11 12:37:00,WHAT'S HAPPENING BROTHER,MARVIN GAYE
2023-05-11 12:40:00,HOW MANY MILES,SIRENS OF LESBOS
2023-05-11 12:42:00,LA BERCEUSE DES VIEUX AMANTS,TOUR-MAUBOURG
2023-05-11 12:47:00,LES BRINS DE LAVANDE,BICHE ET PEARL  THE OYSTERS
2023-05-11 12:49:00,SAMBA PER UN AMORE,LUCIA RANGO
2023-05-11 12:51:00,SILLY THINGS,ANTENA
2023-05-11 12:54:00,SAMBA TRISTE,STAN GETZ
2023-05-11 12:59:00,I PUT A LITTLE THING IN YOUR POCKET,JONNINE
2023-05-11 13:01:00,YES,CHARLES LUDIG
2023-05-11 13:01:00,MY BEST FRIEND'S GIRL,THE CARS
2023-05-11 13:05:00,THE BOY WITH THE ARAB STRAP,BELLE AND SEBASTIAN
2023-05-11 13:10:00,CHINA GATES,SHANI DILUKA
2023-05-11 13:14:00,JUST ONE TASTE,THE EMINENT STARS
2023-05-11 13:17:00,"RUNAWAY CHILD, RUNNING WILD",THE TEMPTATIONS
2023-05-11 13:22:00,LADRA DO LUGAR DE FALA,ILESSI
2023-05-11 13:25:00,BONGOS IN PARADISE,PRESTON EPPS
2023-05-11 13:27:00,ANY LITTLE TIME,RACHAEL  VILRAY  VILRAY  NATE KETNER  JACOB ZIMMERMAN  JIM ZIEGLER
2023-05-11 13:30:00,THE NICKEL SONG,MELANIE
2023-05-11 13:34:00,RUE DE MENILMONTANT,JULIE B BONNIE
2023-05-11 13:37:00,HIGH LIFE,THE WINSTON BROTHERS
2023-05-11 13:41:00,LOVE BETWEEN...,KALI UCHIS
2023-05-11 13:44:00,LA COSECHA ,NICOLA CRUZ
2023-05-11 13:48:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-11 13:49:00,WALK LIKE AN EGYPTIAN,THE BANGLES
2023-05-11 13:52:00,EGYPTIAN REGGAE,PASCAL COMELADE
2023-05-11 13:53:00,TOUTOUTOUT ,CLAIR  CZERKINSKY  PHILIPPE KATERINE
2023-05-11 13:56:00,JUST THE WAY YOU ARE,BILLY JOEL
2023-05-11 14:00:00,LIKE A MONDAY,LEON PHAL QUINTET
2023-05-11 14:04:00,DIVE,OLIVIA DEAN
2023-05-11 14:08:00,THE LETTER,MACY GRAY
2023-05-11 14:13:00,THE INVITATION ,PROJECT GEMINI
2023-05-11 14:14:00,BURLESQUE DESERT WINDOW,TRAMPLED BY TURTLES
2023-05-11 14:16:00,SUITE POUR VIOLONCELLE N3 EN UT MAJ BWV 1009 : 4. SARABANDE,ABEL SELAOCOE
2023-05-11 14:19:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-11 14:20:00,COUCOU,LAS HERMANAS CARONNI
2023-05-11 14:23:00,LE PLURIEL,GEORGES BRASSENS
2023-05-11 14:27:00,COFFEE IN A CARDBOARD CUP,JOHN PIZZARELLI  ISAIAH J THOMPSON  MICHAEL KARN
2023-05-11 14:32:00,WITCHES BOOGALOO,THE SUGARMAN 3
2023-05-11 14:36:00,WOOLEY BULLY,LONNIE YOUNGBLOOD
2023-05-11 14:38:00,B.I.G. POPPA'S GOT A BRAND NEW BAG ,THE NOTORIOUS J.B.'S  JAMES BROWN  NOTORIOUS BIG
2023-05-11 14:42:00,IT'S A MAN'S MAN'S MAN'S WORLD,MERCURY REV
2023-05-11 14:46:00,CEE ROCKA,SOUL REVIVERS
2023-05-11 14:51:00,TOMBE LA PLUIE,VOYOU
2023-05-11 14:55:00,DIA DE CHUVA,NITEROY
2023-05-11 14:59:00,WE ARE FAMILY,SISTER SLEDGE
2023-05-11 15:01:00,20200101,MAC DEMARCO
2023-05-11 15:03:00,CARNIVAL,NATALIE MERCHANT
2023-05-11 15:09:00,COMME UNE ENFANT,ALAIN BASHUNG
2023-05-11 15:11:00,"THE GOOD, THE BAD AND THE UGLY ",ENNIO MORRICONE
2023-05-11 15:13:00,GREEN FIELDS,THE GOOD THE BAD  THE QUEEN
2023-05-11 15:15:00,BIRTHDAY SUIT,COSMO SHELDRAKE
2023-05-11 15:16:00,A MOI LA LIBERTE ,CHEB HINDI
2023-05-11 15:22:00,HEY AVI!!,MONTOYA
2023-05-11 15:25:00,PUSHERMAN ,BILL BEN  BAGGIO
2023-05-11 15:28:00,LA GRANDE DESILLUSION,BENJAMIN EPPS
2023-05-11 15:31:00,NO MORE LIES,THUNDERCAT  TAME IMPALA
2023-05-11 15:36:00,CHEGA DE SAUDADE ,GARY BURTON
2023-05-11 15:41:00,TAKE IT EASY MY BROTHER CHARLIE,ASTRUD GILBERTO  DJ SPINNA
2023-05-11 15:44:00,BOSSA NOVA BABY,TIPPIE  THE CLOVERS
2023-05-11 15:46:00,JAMAICA FAREWELL,HARRY BELAFONTE
2023-05-11 15:49:00,VICENTE,TUZEINT
2023-05-11 15:51:00,LA VIE BREVE : DANSE - ARRANGEMENT POUR GUITARE,PACO DE LUCIA  DIVERS
2023-05-11 15:54:00,BRIGHT LUCK ,PORTICO  JONO MCCLEER
2023-05-11 15:58:00,SOLUTION,PAULINE CROZE
2023-05-11 16:01:00,HEIGH HO,LAURENT MARIMBERT
2023-05-11 16:03:00,SUPER MARIO BROS,FRED PALLEM  LE SACRE DU TYMPAN  FRED PALLEM  LE SACRE DU TYMPAN  GUILLAUME MAGNIE  JEREMIE PIAZZA
2023-05-11 16:08:00,YE-YE,EIKO SHURI
2023-05-11 16:11:00,HAVE LOVE WILL TRAVEL,RICHARD BERRY AND THE PHARAOHS
2023-05-11 16:13:00,"RED, GOLD AND GREEN",BURNING SPEAR
2023-05-11 16:15:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-11 16:16:00,CURAIDH,KERBSIDE COLLECTION
2023-05-11 16:19:00,SUMMER IN THE CITY,QUINCY JONES
2023-05-11 16:23:00,LE DEPART,ADI OASIS
2023-05-11 16:24:00,VACANCES,L IMPERATRICE  CHARLES DE BOISSEGUIN  HAGNI GWON  FLORE BENGUIGUI  DAVID GAUGUE
2023-05-11 16:28:00,LES VACANCES DE MONSIEUR HULOT : QUEL TEMPS FAIT-IL A PARIS,BO / LES VACANCES DE MONSIEUR HULOT
2023-05-11 16:30:00,HOLIDAY FOR STRINGS,THE VOICES OF WALTER SCHUMANN
2023-05-11 16:33:00,SUNSET CANYON,FOXWARREN
2023-05-11 16:37:00,HUES,Y LA BAMBA  DEVENDRA BANHART
2023-05-11 16:41:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-11 16:41:00,TOMORROW,THE DURUTTI COLUMN
2023-05-11 16:45:00,PAINT IT BLACK,THE ROLLING STONES
2023-05-11 16:48:00,ON DANSAIT AVEC ELLE ,LEPEE
2023-05-11 16:51:00,THE UNCERTAINTY PRINCIPLE,THE HELIOCENTRICS
2023-05-11 16:54:00,DJANGER,NUSANTARA BEAT
2023-05-11 16:58:00,AS WE ENTER,NAS  DAMIAN MARLEY
2023-05-11 17:00:00,YEGELLE TEZETA,MULATU ASTATKE
2023-05-11 17:04:00,A REACH OUT ,TICKLED PINK
2023-05-11 17:06:00,QUIT JIVE'IN,PEARLY QUEEN
2023-05-11 17:09:00,FUTBOL,RAHILL
2023-05-11 17:12:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-11 17:13:00,POST HOUMOUS,MORCHEEBA
2023-05-11 17:14:00,LOSER,BECK
2023-05-11 17:18:00,LEBANESE BLONDE ,THIEVERY CORPORATION  PAMELA BRICKER
2023-05-11 17:23:00,DON'T YOU DARE ,MINIMAL ORCHESTRA  TOM TERRIEN  FLORENT HORTAL  PIERRE-JEAN TROUETTE
2023-05-11 17:25:00,BENDING NEW CORNERS,ERIK TRUFFAZ
2023-05-11 17:33:00,FUNKIN FOR JAMAICA,TOM BROWNE
2023-05-11 17:38:00,SHE CAN'T LOVE YOU,CHEMISE
2023-05-11 17:43:00,LOVE THAT BIRD,STEVE HIETT
2023-05-11 17:46:00,HELP,ROZI PLAIN
2023-05-11 17:50:00,MIRAGE,SOLEIL VERT
2023-05-11 17:54:00,AVENTURE 1,FRED UND LUNA
2023-05-11 17:59:00,IT'S MORE FUN TO COMPUTE,KRAFTWERK
2023-05-11 18:03:00,BABA O' RILEY,THE WHO
2023-05-11 18:08:00,RAWHIDE,ERIC WEISSBERG  STEVE MANDELL
2023-05-11 18:10:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-11 18:10:00,SAY WHAT YOU LIKE,DOUG PAISLEY
2023-05-11 18:13:00,STILL IT S NOT ENOUGH,THE LEMON TWIGS
2023-05-11 18:16:00,OTRAS TRES DIFERENCIAS HECHAS POR OTRA PARTE - POUR GUITARE,GIUSEPPE CHIARAMONTE
2023-05-11 18:19:00,LES VOYAGES,JEANNE MOREAU
2023-05-11 18:21:00,SOB O MAR,JAIME  NAIR  JAIME ALEM  NAIR DE CANDIA
2023-05-11 18:25:00,THE WORM,JIMMY MCGRIFF
2023-05-11 18:29:00,JOEL GOES TO GET HELP,KI!  JOHAN BYLLING LANG
2023-05-11 18:35:00,PROPAGANDA ,SALAMI ROSE JOE LOUIS  BRIJEAN
2023-05-11 18:37:00,DESNUDA,UNDERGROUND SYSTEM
2023-05-11 18:43:00,SABROSA,BEASTIE BOYS
2023-05-11 18:46:00,LOVE FOR THE SAKE OF LOVE,CLAUDJA BARRY
2023-05-11 18:51:00,MARJORIE KELLY,MAT VEZIO
2023-05-11 18:55:00,THE LAST TIME,THE ANDREW OLDHAM ORCHESTRA
2023-05-11 18:57:00,OLD ARCADE,STILL CORNERS
2023-05-11 20:00:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-11 20:01:00,RIDERS ON THE STORM,THE DOORS
2023-05-11 20:08:00,THROUGH THE STORM,CHARLES BRADLEY
2023-05-11 20:13:00,J'APAISE,ENCHANTEE JULIA  ASTRONNE
2023-05-11 20:16:00,STILL,FTHMLSS
2023-05-11 20:19:00,TEARDROP,MASSIVE ATTACK
2023-05-11 20:24:00,IF YOU CAN'T SAY NO,LENNY KRAVITZ
2023-05-11 20:29:00,"SAN JUAN, TAMBOR Y FUERA",UN DOS TRES Y FUERA
2023-05-11 20:34:00,IRON LUNG,KING GIZZARD  THE LIZARD WIZARD
2023-05-11 20:43:00,EASY,THE DANDY WARHOLS
2023-05-11 20:51:00,THESE HANDS ,ASTA HIROKI
2023-05-11 20:56:00,GOODBYE ,SABRINA BELLAOUEL  BONNIE BANANE
2023-05-11 21:01:00,HULA HOOP  ,LIMOUSINE  VICTOR SOLF  LAURENT BARDAINNE  DAVID AKNIN  MAXIME DELPIERRE
2023-05-11 21:04:00,BETTER MAN,PEARL JAM
2023-05-11 21:09:00,ALMOST CUT MY HAIR,CROSBY STILLS NASH AND YOUNG
2023-05-11 21:13:00,FED UP,GEORGE BENSON
2023-05-11 21:23:00,PHYSICAL LOVE,EDDIE HAZEL
2023-05-11 21:29:00,THE DARKEST PART ,DANGER MOUSE  BLACK THOUGHT
2023-05-11 21:32:00,MERCURY,STEVE LACY
2023-05-11 21:37:00,MISTIFICAR,TIM BERNARDES
2023-05-11 21:40:00,HOHAI-BUSHI,KIFU MITSUHASHI
2023-05-11 21:44:00,I'LL KEEP COMING,LOW ROAR
2023-05-11 21:47:00,LA PROMESSE AU SOLEIL,ALDORANDE
2023-05-11 21:49:00,PLAYA PLAYA,D ANGELO
2023-05-11 21:56:00,A TEMPS,LUCIE ANTUNES
2023-05-11 22:00:00,I'LL KEEP COMING,LOW ROAR
2023-05-11 22:04:00,BACHELORETTE,BJORK
2023-05-11 22:09:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-11 22:10:00,SVEFN-G-ENGLAR,SIGUR ROS
2023-05-11 22:18:00,MON AMOUR TU BOIS TROP,LEONIE PERNET
2023-05-11 22:21:00,UNITY,THE COMET IS COMING
2023-05-11 22:24:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-11 22:25:00,LONG GONE DAY,MAD SEASON
2023-05-11 22:30:00,BHAJA GOVINDAM,ALICE COLTRANE
2023-05-11 22:34:00,MY SWEET LORD,GEORGE HARRISON
2023-05-11 22:38:00,SACRED SANDS,ALLAH-LAS
2023-05-11 22:41:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-11 22:41:00,TRAMP LIKE YOU,ORACLE SISTERS  CHRISTOPHER WILLATT  LEWIS LAZAR  JULIA JOHANSEN  CYPRIEN JACQUET
2023-05-11 22:45:00,NOS CONTRADICTIONS,GABI HARTMANN
2023-05-11 22:49:00,NOBODY KNOWS THE TROUBLE I'VE SEEN,GRANT GREEN  HERBIE HANCOCK  BUTCH WARREN  BILLY HIGGINS  GARVIN MASSEAUX
2023-05-11 22:55:00,EGYPTIAN MUSIC,MAGON
2023-05-11 22:58:00,LOSE CONTROL,SANDRA NKAKE  MATHILDA HAYNES  JI DRU  JEROME PEREZ  MATHIEU PETNOT
2023-05-11 23:01:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-11 23:02:00,QUATUOR A CORDES N38 EN MI BEMOL MAJ OP 50 N3 HOB III : 46 : FINALE,QUATUOR ZAIDE  CHARLOTTE JUILLARD  LESLIE BOULIN RAULET  SARAH CHENAF  JULIETTE SALMONA
2023-05-11 23:05:00,AFRONEWAVE,KEZIAH JONES
2023-05-11 23:09:00,T'AIMES PAS CA ,EL GATO NEGRO
2023-05-11 23:14:00,VAMOS FARREAR,PINDUCA
2023-05-11 23:18:00,EL BUBAMARA PASA,BLACK CAT WHITE CAT
2023-05-11 23:19:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-11 23:20:00,GOIN' BACK TO INDIANA,THE JACKSON 5
2023-05-11 23:23:00,LOVE GOT ME,ARTHUR CONLEY
2023-05-11 23:23:00,LOVE GOT ME,ARTHUR CONLEY
2023-05-11 23:25:00,HE'S A REAL GONE GUY,JUDITH OWEN  KEVIN LOUIS  DAVID TORKANOWSKY  DAVE BLENKHORN  LEX WARSHAWSKY
2023-05-11 23:25:00,HE'S A REAL GONE GUY,JUDITH OWEN  KEVIN LOUIS  DAVID TORKANOWSKY  DAVE BLENKHORN  LEX WARSHAWSKY
2023-05-11 23:30:00,UNCHAIN MY HEART ,JOHN SCOFIELD
2023-05-11 23:30:00,UNCHAIN MY HEART ,JOHN SCOFIELD
2023-05-11 23:34:00,THE ROSES ,BLUESTAEB  LOUIS VI  MAIA  K LE MAESTRO
2023-05-11 23:34:00,THE ROSES ,BLUESTAEB  LOUIS VI  MAIA  K LE MAESTRO
2023-05-11 23:37:00,CAFE DU MONDE,TANK AND THE BANGAS
2023-05-11 23:37:00,CAFE DU MONDE,TANK AND THE BANGAS
2023-05-11 23:42:00,NONET EN MI BEMOL MAJ OP 38 POUR 4 CORDES ET 5 VENTS : III. SCHERZO. VIVACE,PHILIPPE BERNOLD  FRANCOIS LELEUX  ROMAIN GUYOT  ANDRE CAZALET  GILBERT AUDIN
2023-05-11 23:42:00,NONET EN MI BEMOL MAJ OP 38 POUR 4 CORDES ET 5 VENTS : III. SCHERZO. VIVACE,PHILIPPE BERNOLD  FRANCOIS LELEUX  ROMAIN GUYOT  ANDRE CAZALET  GILBERT AUDIN
2023-05-11 23:48:00,MY SISTER'S TINY HANDS,ANDREW BIRD
2023-05-11 23:48:00,MY SISTER'S TINY HANDS,ANDREW BIRD
2023-05-11 23:49:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-11 23:49:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-11 23:50:00,THE PARTISAN,LEONARD COHEN
2023-05-11 23:50:00,THE PARTISAN,LEONARD COHEN
2023-05-11 23:53:00,LAM AZAL,ISSAM HAJALI
2023-05-11 23:53:00,LAM AZAL,ISSAM HAJALI
2023-05-11 23:56:00,PLANALTO,FABIANO DO NASCIMENTO  SAM GENDEL  RICARDO TIKI PASILLAS  THALMA DE FREITAS  CARLA HASSETT
2023-05-11 23:56:00,PLANALTO,FABIANO DO NASCIMENTO  SAM GENDEL  RICARDO TIKI PASILLAS  THALMA DE FREITAS  CARLA HASSETT
2023-05-11 23:58:00,COOL ABOUT IT,BOYGENIUS
2023-05-11 23:58:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-11 23:58:00,COOL ABOUT IT,BOYGENIUS
2023-05-11 23:58:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
